CustomerID,Age,Gender,CountryID
1,23,F,1
2,20,F,2
3,23,F,3
4,22,F,3
5,18,F,1
6,19,F,3
7,23,M,2
8,22,M,4
9,18,F,3
10,20,M,2
11,24,M,1
12,21,F,2
13,20,M,4
14,23,M,2
15,21,F,3
16,24,M,3
17,23,F,1
18,19,M,4
19,24,F,4
20,21,M,2
21,24,M,2
22,20,F,3
23,23,F,3
24,19,F,2
25,21,M,4
26,23,F,3
27,24,F,2
28,18,M,2
29,18,F,4
30,22,M,2
31,21,M,4
32,23,M,1
33,19,F,3
34,22,M,3
35,21,M,2
36,19,M,1
37,18,F,2
38,19,M,3
39,21,M,3
40,21,M,4
41,24,F,3
42,18,M,3
43,20,F,2
44,19,M,1
45,23,M,4
46,24,F,2
47,18,M,4
48,22,F,2
49,24,F,2
50,24,F,3
51,21,F,1
52,20,M,2
53,19,F,1
54,21,F,4
55,22,F,1
56,21,F,2
57,24,M,4
58,22,F,3
59,21,M,2
60,22,M,1
61,19,F,2
62,22,F,3
63,18,F,3
64,18,F,1
65,18,M,1
66,19,M,3
67,19,F,3
68,22,M,2
69,21,M,2
70,18,M,2
71,21,M,4
72,18,F,1
73,23,M,4
74,18,F,2
75,22,M,1
76,19,M,2
77,24,F,2
78,24,F,1
79,22,F,4
80,24,F,2
81,21,M,2
82,21,F,2
83,18,M,2
84,24,M,2
85,23,M,2
86,20,F,4
87,22,F,3
88,18,F,3
89,22,F,1
90,22,F,4
91,18,F,3
92,19,M,1
93,22,F,3
94,18,F,2
95,22,M,4
96,19,M,2
97,21,F,3
98,20,M,2
99,24,F,1
100,22,F,1
101,19,M,1
102,20,F,4
103,20,M,2
104,24,M,3
105,24,F,3
106,22,M,4
107,18,F,2
108,18,F,2
109,22,F,3
110,19,M,2
111,20,F,1
112,21,M,1
113,20,F,3
114,20,F,3
115,22,M,3
116,18,F,4
117,23,F,2
118,24,M,3
119,19,M,1
120,20,M,4
121,24,F,4
122,19,F,3
123,20,M,4
124,23,F,4
125,19,F,4
